energy_source,date,production_mwh
1.4 Thermal power generation,2013M03,186656
1.1 Hydro power generation,2013M04,9127947
1.2 Wind power generation,2013M04,140505
1.4 Thermal power generation,2013M04,207565
1.1 Hydro power generation,2013M05,9343219
1.2 Wind power generation,2013M05,136543
1.4 Thermal power generation,2013M05,310676
1.1 Hydro power generation,2013M06,9270084
1.2 Wind power generation,2013M06,94936
1.4 Thermal power generation,2013M06,270738
1.1 Hydro power generation,2013M07,9277607
1.2 Wind power generation,2013M07,136289
1.4 Thermal power generation,2013M07,325598
1.1 Hydro power generation,2013M08,9726483
1.2 Wind power generation,2013M08,122256
1.4 Thermal power generation,2013M08,290969
1.1 Hydro power generation,2013M09,9469056
1.2 Wind power generation,2013M09,114767
1.4 Thermal power generation,2013M09,302899
1.1 Hydro power generation,2013M10,10383643
1.2 Wind power generation,2013M10,182572
1.4 Thermal power generation,2013M10,310415
1.1 Hydro power generation,2013M11,11719841
1.2 Wind power generation,2013M11,209032
1.4 Thermal power generation,2013M11,300125
1.1 Hydro power generation,2013M12,12512431
1.2 Wind power generation,2013M12,299668
1.4 Thermal power generation,2013M12,315361
1.1 Hydro power generation,2014M01,14072018
1.2 Wind power generation,2014M01,257853
1.4 Thermal power generation,2014M01,313136
1.1 Hydro power generation,2014M02,11343284
1.2 Wind power generation,2014M02,245711
1.4 Thermal power generation,2014M02,275754
1.1 Hydro power generation,2014M03,11702699
1.2 Wind power generation,2014M03,234680
